player_id,full_name,position,nfl_team,active,status,injury_status,practice_participation,depth_chart_position,depth_chart_order,league_1389740418316374016,league_1370453762442797056,league_1370218620990263296,league_1366076769534251008,league_1359546418284494848,free_agent_leagues,rostered_leagues,my_leagues,my_start_leagues,opponent_leagues,multi_league_free_agent,rostered_somewhere_free_somewhere
9493,Puka Nacua,WR,LAR,True,Active,Questionable,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
9754,Quentin Johnston,WR,LAC,True,Active,,,LWR,2,OWNED,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,1,False,False
10229,Rashee Rice,WR,KC,True,Active,,,SWR,1,OPP,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,2,False,False
11620,Rome Odunze,WR,CHI,True,Active,Questionable,,LWR,1,OWNED,OWNED,OPP,OWNED,PREDRAFT,0,4,0,0,1,False,False
8121,Romeo Doubs,WR,NE,True,Active,,,RWR,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
2449,Stefon Diggs,WR,WAS,True,Active,,,RWR,2,OPP,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,1,False,False
6801,Tee Higgins,WR,CIN,True,Active,Questionable,,RWR,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
5927,Terry McLaurin,WR,WAS,True,Active,,,LWR,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
10213,Tre Tucker,WR,LV,True,Active,,,RWR,1,OPP,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,1,False,False
8126,Wan'Dale Robinson,WR,TEN,True,Active,Questionable,,SWR,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
